,year,address_ku,status,industry_type,count
5118,2020,豊島区,開店,サービス,3.0
5119,2020,豊島区,開店,車・不動産,3.0
5120,2020,豊島区,開店,レンタル,0.0
5121,2020,豊島区,開店,スポーツ,0.0
5122,2020,豊島区,開店,美容・健康・福祉,6.0
5123,2020,豊島区,開店,ブログ,0.0
5124,2020,豊島区,開店,公共施設・交通・金融,3.0
5125,2020,豊島区,開店,期間限定,0.0
5621,2021,豊島区,開店,小売店,33.0
5622,2021,豊島区,開店,飲食店,108.0
5623,2021,豊島区,開店,観光・宿泊・レジャー,7.0
5624,2021,豊島区,開店,サービス,2.0
5625,2021,豊島区,開店,車・不動産,1.0
5626,2021,豊島区,開店,レンタル,4.0
5627,2021,豊島区,開店,スポーツ,0.0
5628,2021,豊島区,開店,美容・健康・福祉,3.0
5629,2021,豊島区,開店,ブログ,0.0
5630,2021,豊島区,開店,公共施設・交通・金融,0.0
5631,2021,豊島区,開店,期間限定,0.0
6127,2022,豊島区,開店,小売店,16.0
6128,2022,豊島区,開店,飲食店,94.0
6129,2022,豊島区,開店,観光・宿泊・レジャー,4.0
6130,2022,豊島区,開店,サービス,1.0
6131,2022,豊島区,開店,車・不動産,1.0
6132,2022,豊島区,開店,レンタル,2.0
6133,2022,豊島区,開店,スポーツ,1.0
6134,2022,豊島区,開店,美容・健康・福祉,5.0
6135,2022,豊島区,開店,ブログ,0.0
6136,2022,豊島区,開店,公共施設・交通・金融,1.0
6137,2022,豊島区,開店,期間限定,0.0
